epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7148.95,1.24148,0.82311,0.97997,0.77508,0.8049,0.82536,0.60781,0.87166,0.90305,0.85854,0.00999594,0.00999594,0.00999594
43,7319.34,1.23357,0.78862,0.967,0.88295,0.93934,0.9695,0.74685,0.75297,0.68788,0.85854,0.00999584,0.00999584,0.00999584
44,7489.68,1.22327,0.77346,0.96066,0.75474,0.96049,0.9123,0.72244,0.77971,0.69107,0.85609,0.00999574,0.00999574,0.00999574
45,7659.75,1.21851,0.75844,0.96077,0.69558,0.7803,0.81718,0.64456,0.84458,1.00414,0.8735,0.00999564,0.00999564,0.00999564
46,7829.79,1.21754,0.77364,0.96807,0.71148,0.64547,0.69772,0.54009,0.88543,1.07678,0.87888,0.00999554,0.00999554,0.00999554
47,8000.18,1.20053,0.76877,0.97091,0.86556,0.7197,0.85353,0.68364,0.80049,0.78132,0.85252,0.00999545,0.00999545,0.00999545
48,8170.13,1.20969,0.74915,0.96418,0.81363,0.91294,0.95092,0.70027,0.89249,0.62036,0.8653,0.00999535,0.00999535,0.00999535
49,8340.09,1.20488,0.73948,0.96663,0.85756,0.80595,0.86941,0.70368,0.8692,0.70254,0.86879,0.00999525,0.00999525,0.00999525
50,8510.02,1.22917,0.77007,0.96157,0.78072,0.86415,0.92176,0.73639,0.80665,0.62824,0.85713,0.00999515,0.00999515,0.00999515
51,8680.01,1.21519,0.76361,0.96205,0.85541,0.77103,0.90503,0.70812,0.85912,0.70756,0.85897,0.00999505,0.00999505,0.00999505
52,8849.73,1.18886,0.74127,0.96199,0.83186,0.7875,0.8763,0.65331,0.89555,0.68635,0.86219,0.00999495,0.00999495,0.00999495
53,9019.99,1.19516,0.73522,0.9626,0.90043,0.66216,0.85588,0.66685,0.82921,0.73682,0.8608,0.00999485,0.00999485,0.00999485
54,9190.39,1.20153,0.74346,0.96321,0.89814,0.74009,0.88951,0.67902,0.83439,0.7497,0.86412,0.00999475,0.00999475,0.00999475
55,9360.62,1.18052,0.73087,0.95193,0.85018,0.83869,0.89734,0.71394,0.75927,0.71444,0.84938,0.00999465,0.00999465,0.00999465
56,9530.95,1.1782,0.71244,0.96232,0.90853,0.87261,0.94713,0.77906,0.79051,0.57176,0.86363,0.00999456,0.00999456,0.00999456
57,9701.28,1.15605,0.7157,0.96331,0.71992,0.80921,0.85124,0.65326,0.81789,0.90497,0.86283,0.00999446,0.00999446,0.00999446
58,9871.34,1.17301,0.69416,0.9509,0.79014,0.91296,0.89897,0.71179,0.74564,0.66081,0.84772,0.00999436,0.00999436,0.00999436
59,10041.4,1.1512,0.69137,0.9455,0.87879,0.8936,0.96143,0.76478,0.71193,0.54457,0.83556,0.00999426,0.00999426,0.00999426
