epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.445,4.15275,7.71763,4.29212,0,0,0,0,5.45571,5.01592,4.17144,0.00324324,0.00324324,0.00324324
2,276.612,4.08841,7.3901,4.18528,0,0,0,0,5.4585,5.02271,4.17934,0.00657651,0.00657651,0.00657651
3,414.072,3.12528,5.86403,3.19516,0.30067,0.01992,0.00287,0.00094,3.47017,30.9469,3.90466,0.00990971,0.00990971,0.00990971
4,551.426,2.462,4.08175,2.23437,0.39732,0.10105,0.09483,0.02915,2.538,16.6693,2.36442,0.0099997,0.0099997,0.0099997
5,688.755,2.20353,3.26625,1.93595,0.41626,0.17287,0.1718,0.08357,2.05907,5.39266,1.733,0.0099996,0.0099996,0.0099996
6,826.111,2.03635,2.79084,1.78816,0.55332,0.29943,0.36899,0.18171,1.99503,3.27566,1.6387,0.00999951,0.00999951,0.00999951
7,963.406,1.9477,2.57806,1.71332,0.5406,0.24275,0.27395,0.10803,2.1514,3.94206,1.69695,0.00999941,0.00999941,0.00999941
8,1100.6,1.87789,2.36348,1.63346,0.47056,0.47182,0.41795,0.19109,1.9395,2.17309,1.5898,0.00999931,0.00999931,0.00999931
9,1237.86,1.8122,2.19711,1.57826,0.70847,0.2511,0.36518,0.15828,2.13563,1.99013,1.58124,0.00999921,0.00999921,0.00999921
10,1374.97,1.7706,2.0923,1.56476,0.53737,0.45039,0.46519,0.15758,2.5021,2.67442,1.92972,0.00999911,0.00999911,0.00999911
11,1512.2,1.74038,1.99517,1.53012,0.39166,0.49298,0.4232,0.18301,2.07011,2.15316,1.59855,0.00999901,0.00999901,0.00999901
12,1649.37,1.70238,1.92049,1.49902,0.76287,0.38037,0.53284,0.24385,2.06006,2.05688,1.57089,0.00999891,0.00999891,0.00999891
13,1786.55,1.65994,1.85042,1.46834,0.59342,0.59631,0.638,0.30988,1.89855,1.59579,1.46201,0.00999881,0.00999881,0.00999881
14,1923.83,1.57787,1.81497,1.41748,0.64015,0.48237,0.60746,0.22855,2.20792,1.98154,1.62679,0.00999871,0.00999871,0.00999871
15,2060.97,1.51091,1.7741,1.37605,0.59571,0.58292,0.61558,0.25102,2.1147,1.66979,1.60149,0.00999861,0.00999861,0.00999861
16,2198.19,1.47109,1.73979,1.34665,0.63369,0.5932,0.63165,0.2731,1.99816,1.62357,1.51772,0.00999851,0.00999851,0.00999851
17,2335.32,1.459,1.71236,1.3403,0.56175,0.66506,0.70362,0.37679,1.6894,1.40721,1.36075,0.00999842,0.00999842,0.00999842
18,2472.56,1.45419,1.66715,1.33752,0.75323,0.54097,0.67032,0.27074,2.15374,1.7226,1.62816,0.00999832,0.00999832,0.00999832
19,2609.73,1.40512,1.66665,1.31148,0.52073,0.68649,0.66317,0.31199,2.01631,1.69804,1.57018,0.00999822,0.00999822,0.00999822
20,2746.86,1.41718,1.60833,1.30694,0.6252,0.74074,0.71743,0.32424,2.06944,1.60423,1.53785,0.00999812,0.00999812,0.00999812
21,2884.01,1.39598,1.57291,1.29862,0.79357,0.62797,0.69406,0.3024,1.9974,1.33375,1.49201,0.00999802,0.00999802,0.00999802
22,3021.16,1.38849,1.55975,1.29124,0.76666,0.57814,0.71705,0.36125,1.69593,1.25773,1.38501,0.00999792,0.00999792,0.00999792
23,3158.36,1.3697,1.5618,1.27691,0.8061,0.58792,0.67926,0.32053,1.90266,1.37076,1.42417,0.00999782,0.00999782,0.00999782
24,3295.5,1.35084,1.5002,1.28305,0.69768,0.64684,0.71804,0.38687,1.72074,1.47558,1.36764,0.00999772,0.00999772,0.00999772
25,3432.7,1.33724,1.49557,1.25925,0.79493,0.71221,0.79375,0.44203,1.47616,1.08546,1.23821,0.00999762,0.00999762,0.00999762
26,3569.99,1.33783,1.48278,1.26255,0.75358,0.73688,0.75546,0.44795,1.53092,1.06644,1.28358,0.00999753,0.00999753,0.00999753
27,3707.35,1.31275,1.44394,1.23703,0.71459,0.74111,0.78395,0.44827,1.60913,1.09517,1.27672,0.00999743,0.00999743,0.00999743
28,3844.56,1.29301,1.45104,1.24173,0.78494,0.65187,0.76686,0.38158,1.7751,1.20176,1.40909,0.00999733,0.00999733,0.00999733
29,3981.77,1.27742,1.44947,1.23811,0.76973,0.74583,0.77945,0.52738,1.09599,0.9479,1.07322,0.00999723,0.00999723,0.00999723
30,4119.07,1.28676,1.41539,1.23136,0.72307,0.80699,0.80911,0.50432,1.4123,0.99757,1.20426,0.00999713,0.00999713,0.00999713
31,4256.26,1.27433,1.37846,1.22711,0.65857,0.78769,0.79035,0.4728,1.4141,1.08735,1.18725,0.00999703,0.00999703,0.00999703
32,4393.4,1.25047,1.40645,1.2278,0.61209,0.77331,0.79725,0.44252,1.68246,1.04411,1.33835,0.00999693,0.00999693,0.00999693
33,4530.56,1.23899,1.35608,1.21026,0.83321,0.62121,0.77936,0.47235,1.41284,0.98599,1.18011,0.00999683,0.00999683,0.00999683
34,4667.67,1.24836,1.33753,1.20676,0.68994,0.78777,0.81691,0.5027,1.32154,0.93906,1.17015,0.00999673,0.00999673,0.00999673
35,4804.8,1.23282,1.31913,1.21079,0.84039,0.7333,0.83762,0.57827,1.03052,0.80669,1.06726,0.00999663,0.00999663,0.00999663
36,4942.05,1.23879,1.32582,1.2165,0.6392,0.75148,0.77228,0.48316,1.49668,0.94759,1.24081,0.00999654,0.00999654,0.00999654
37,5079.24,1.22415,1.30748,1.20318,0.7291,0.82498,0.82787,0.5644,1.14869,0.83373,1.09508,0.00999644,0.00999644,0.00999644
38,5216.43,1.23024,1.32036,1.20268,0.84498,0.71363,0.81687,0.5134,1.24089,0.94676,1.11327,0.00999634,0.00999634,0.00999634
39,5353.56,1.20703,1.29589,1.20392,0.65991,0.87663,0.83778,0.58731,1.12569,0.83472,1.08691,0.00999624,0.00999624,0.00999624
40,5490.76,1.2033,1.28723,1.20171,0.89918,0.69893,0.84312,0.56886,1.09226,0.77247,1.09395,0.00999614,0.00999614,0.00999614
41,5627.89,1.19555,1.26909,1.18781,0.84265,0.76885,0.84734,0.57178,1.22055,0.83478,1.1483,0.00999604,0.00999604,0.00999604
42,5765.05,1.19772,1.26372,1.1951,0.81995,0.79378,0.85664,0.52932,1.44814,0.89299,1.19319,0.00999594,0.00999594,0.00999594
43,5902.19,1.16934,1.27146,1.1763,0.78218,0.79989,0.83707,0.51478,1.40193,0.85369,1.20244,0.00999584,0.00999584,0.00999584
44,6039.29,1.1872,1.2648,1.1924,0.8086,0.79224,0.84445,0.55364,1.20774,0.82712,1.09043,0.00999574,0.00999574,0.00999574
45,6176.51,1.15991,1.2409,1.16939,0.82572,0.81743,0.85011,0.58291,1.19192,0.77627,1.10401,0.00999564,0.00999564,0.00999564
46,6313.71,1.18148,1.24058,1.17683,0.82544,0.76867,0.83415,0.52849,1.37768,0.85809,1.20087,0.00999554,0.00999554,0.00999554
47,6450.85,1.17054,1.24445,1.17689,0.84714,0.77172,0.83331,0.53955,1.1864,0.83215,1.12836,0.00999545,0.00999545,0.00999545
48,6588,1.15098,1.21719,1.17182,0.88406,0.78439,0.86957,0.6166,1.09795,0.73879,1.05314,0.00999535,0.00999535,0.00999535
49,6725.21,1.15744,1.21957,1.16467,0.80856,0.77537,0.84581,0.53774,1.42693,0.84821,1.18883,0.00999525,0.00999525,0.00999525
50,6862.46,1.13423,1.21608,1.15964,0.71881,0.86338,0.86046,0.58549,1.12984,0.76599,1.06901,0.00999515,0.00999515,0.00999515
51,6999.65,1.14077,1.21153,1.15429,0.74478,0.83104,0.85034,0.61528,0.98159,0.76495,1.02464,0.00999505,0.00999505,0.00999505
52,7136.86,1.12874,1.1805,1.15323,0.83634,0.85661,0.87886,0.60495,1.2778,0.76544,1.18613,0.00999495,0.00999495,0.00999495
53,7274.13,1.12908,1.17234,1.15854,0.88675,0.76798,0.8936,0.60526,1.20344,0.72809,1.11811,0.00999485,0.00999485,0.00999485
54,7411.3,1.13688,1.15767,1.15358,0.91535,0.77045,0.8625,0.51524,1.49257,0.80076,1.23265,0.00999475,0.00999475,0.00999475
55,7548.54,1.1244,1.1634,1.15073,0.77034,0.844,0.86023,0.59338,1.1298,0.75112,1.09453,0.00999465,0.00999465,0.00999465
56,7685.72,1.11874,1.16837,1.14816,0.87505,0.76137,0.86593,0.62251,1.05883,0.70231,1.0422,0.00999456,0.00999456,0.00999456
57,7822.89,1.11311,1.15468,1.14843,0.885,0.75344,0.87811,0.62507,1.05991,0.65935,1.04577,0.00999446,0.00999446,0.00999446
58,7960.18,1.11377,1.16408,1.14089,0.80135,0.88937,0.88609,0.61987,1.10373,0.69455,1.06651,0.00999436,0.00999436,0.00999436
59,8097.37,1.10765,1.12803,1.13629,0.90763,0.77737,0.88115,0.59647,1.21459,0.69854,1.12054,0.00999426,0.00999426,0.00999426
60,8234.47,1.10332,1.13796,1.1493,0.82451,0.86995,0.90313,0.63396,1.08934,0.67697,1.07254,0.00999416,0.00999416,0.00999416
61,8371.75,1.11126,1.13893,1.14877,0.82911,0.83537,0.88741,0.55768,1.36542,0.72136,1.1532,0.00999406,0.00999406,0.00999406
62,8508.94,1.08901,1.12044,1.14068,0.8338,0.81655,0.87481,0.59691,1.17049,0.71288,1.10336,0.00999396,0.00999396,0.00999396
63,8646.07,1.0866,1.12472,1.13439,0.80869,0.84009,0.89896,0.59219,1.27683,0.74147,1.1209,0.00999386,0.00999386,0.00999386
64,8783.22,1.07985,1.11558,1.12985,0.90664,0.80208,0.90353,0.66951,1.0279,0.64223,1.03723,0.00999376,0.00999376,0.00999376
65,8920.46,1.07858,1.10159,1.12435,0.92183,0.8101,0.89589,0.66276,1.05899,0.66559,1.06247,0.00999366,0.00999366,0.00999366
66,9057.64,1.08757,1.11208,1.12738,0.8417,0.84292,0.85288,0.57847,1.21993,0.68345,1.1341,0.00999356,0.00999356,0.00999356
67,9194.8,1.09209,1.10861,1.13031,0.85928,0.82338,0.89506,0.67873,0.9742,0.64341,1.01868,0.00999347,0.00999347,0.00999347
68,9332.13,1.07933,1.08975,1.12684,0.83319,0.84245,0.89876,0.6159,1.20835,0.67452,1.07541,0.00999337,0.00999337,0.00999337
69,9469.31,1.07631,1.10185,1.13075,0.88551,0.83371,0.91386,0.65577,1.11614,0.67715,1.06478,0.00999327,0.00999327,0.00999327
70,9606.48,1.07738,1.10078,1.12774,0.91886,0.79357,0.8842,0.55839,1.3877,0.71717,1.19126,0.00999317,0.00999317,0.00999317
71,9743.66,1.09123,1.11372,1.12873,0.90269,0.85059,0.90772,0.66126,1.04191,0.62606,1.03744,0.00999307,0.00999307,0.00999307
72,9880.8,1.06094,1.11509,1.12182,0.89372,0.84097,0.908,0.66703,1.04758,0.6741,1.04111,0.00999297,0.00999297,0.00999297
73,10017.9,1.07085,1.08987,1.12484,0.92272,0.8546,0.91627,0.68467,1.00722,0.63592,1.02079,0.00999287,0.00999287,0.00999287
74,10155.1,1.06316,1.09066,1.11712,0.89002,0.85118,0.89517,0.66368,0.9727,0.62387,1.00987,0.00999277,0.00999277,0.00999277
75,10292.2,1.05883,1.06713,1.1191,0.89801,0.81736,0.90821,0.62968,1.13152,0.68412,1.08102,0.00999267,0.00999267,0.00999267
76,10429.3,1.05556,1.06992,1.11561,0.8954,0.8548,0.9164,0.67029,0.97491,0.60398,1.00627,0.00999258,0.00999258,0.00999258
77,10566.5,1.04648,1.05597,1.11456,0.88472,0.82577,0.88085,0.65182,1.03757,0.64022,1.04974,0.00999248,0.00999248,0.00999248
78,10703.7,1.03723,1.0516,1.09637,0.89036,0.82155,0.90269,0.62957,1.2024,0.64213,1.11948,0.00999238,0.00999238,0.00999238
79,10840.8,1.05854,1.03585,1.11839,0.89667,0.8231,0.89543,0.61575,1.16049,0.65231,1.08084,0.00999228,0.00999228,0.00999228
80,10978.4,1.0576,1.03785,1.10887,0.88281,0.81436,0.89662,0.6115,1.21467,0.67642,1.13058,0.00999218,0.00999218,0.00999218
81,11115.6,1.03301,1.05912,1.0984,0.88885,0.87536,0.92269,0.67066,1.1147,0.62809,1.06584,0.00999208,0.00999208,0.00999208
82,11252.8,1.03576,1.04862,1.10701,0.89605,0.82653,0.90973,0.67545,0.99512,0.62252,1.01724,0.00999198,0.00999198,0.00999198
83,11390,1.03756,1.04573,1.10514,0.87593,0.89237,0.91873,0.63103,1.16847,0.63854,1.10054,0.00999188,0.00999188,0.00999188
84,11527.2,1.04235,1.03702,1.11078,0.81215,0.83593,0.89713,0.63544,1.11465,0.68163,1.12041,0.00999178,0.00999178,0.00999178
85,11664.3,1.02693,1.05132,1.10575,0.90101,0.81148,0.91619,0.65439,1.1129,0.63454,1.05711,0.00999168,0.00999168,0.00999168
86,11801.5,1.02568,1.03413,1.09907,0.83869,0.87511,0.92778,0.6778,1.03753,0.58813,1.03527,0.00999158,0.00999158,0.00999158
87,11938.7,1.03213,1.03278,1.09912,0.86409,0.88498,0.91863,0.70035,0.92825,0.56229,1.01021,0.00999149,0.00999149,0.00999149
88,12075.9,1.02117,1.03499,1.10197,0.90892,0.85384,0.91339,0.6731,1.04166,0.62524,1.02283,0.00999139,0.00999139,0.00999139
89,12213,1.02005,1.01962,1.09807,0.82587,0.89427,0.91827,0.68743,0.96597,0.57624,1.01504,0.00999129,0.00999129,0.00999129
90,12350.2,1.0299,1.02401,1.09945,0.88273,0.86908,0.91525,0.68732,1.004,0.58703,1.03158,0.00999119,0.00999119,0.00999119
91,12487.3,1.01707,1.03291,1.09522,0.83089,0.86438,0.9023,0.64242,1.0913,0.62415,1.05923,0.00999109,0.00999109,0.00999109
92,12624.4,1.01614,1.01914,1.0984,0.8252,0.9079,0.91364,0.6809,0.96173,0.59154,1.0088,0.00999099,0.00999099,0.00999099
93,12761.6,1.01314,1.02121,1.10342,0.81577,0.9285,0.91332,0.66272,0.99544,0.60356,1.02505,0.00999089,0.00999089,0.00999089
94,12898.8,1.01379,1.01367,1.09101,0.91577,0.82166,0.9103,0.66452,1.09554,0.61608,1.05286,0.00999079,0.00999079,0.00999079
95,13036.1,1.02886,1.01265,1.09107,0.86593,0.83659,0.91535,0.71105,0.88161,0.5843,0.98016,0.00999069,0.00999069,0.00999069
96,13173.3,1.01114,1.01894,1.09701,0.85232,0.86902,0.91242,0.72167,0.82387,0.5542,0.95512,0.00999059,0.00999059,0.00999059
97,13310.5,1.01606,1.01348,1.09199,0.84132,0.87812,0.90834,0.64422,1.11505,0.60761,1.05951,0.0099905,0.0099905,0.0099905
98,13447.6,0.99322,1.01415,1.09131,0.85097,0.87884,0.92505,0.69121,0.99217,0.56269,1.01873,0.0099904,0.0099904,0.0099904
99,13584.7,1.0031,1.01748,1.09207,0.88806,0.8588,0.9295,0.70734,0.9165,0.5795,0.99614,0.0099903,0.0099903,0.0099903
100,13721.9,1.00197,0.99426,1.09134,0.92415,0.90688,0.92772,0.69509,1.02229,0.55528,1.02631,0.0099902,0.0099902,0.0099902
101,13859.1,1.00562,0.99446,1.08327,0.88203,0.88219,0.93003,0.70296,0.97686,0.54359,0.99949,0.0099901,0.0099901,0.0099901
102,13996.3,0.99216,1.01736,1.08717,0.80248,0.9024,0.92211,0.72122,0.86852,0.55348,0.97572,0.00999,0.00999,0.00999
103,14133.5,1.00718,1.00659,1.09251,0.87581,0.8676,0.91561,0.70778,0.9026,0.54039,0.97884,0.0099899,0.0099899,0.0099899
104,14270.7,1.0087,0.98686,1.0898,0.9096,0.88624,0.92113,0.68144,1.07826,0.57584,1.05274,0.0099898,0.0099898,0.0099898
105,14407.9,0.98159,0.98817,1.07816,0.91047,0.84746,0.92933,0.68632,1.02383,0.56084,1.01957,0.0099897,0.0099897,0.0099897
106,14545.1,0.98769,0.99377,1.0876,0.86205,0.91901,0.92926,0.72942,0.88586,0.52963,0.98476,0.00998961,0.00998961,0.00998961
107,14682.3,0.98931,0.99178,1.08089,0.86005,0.91394,0.93476,0.64153,1.13471,0.56676,1.05837,0.00998951,0.00998951,0.00998951
108,14819.4,0.98608,0.97409,1.08009,0.85962,0.90746,0.9107,0.69098,0.98057,0.55287,1.01407,0.00998941,0.00998941,0.00998941
109,14956.5,1.00267,0.98224,1.08846,0.88157,0.88995,0.91633,0.70289,0.95996,0.55448,0.99465,0.00998931,0.00998931,0.00998931
110,15093.7,0.96336,0.9676,1.07744,0.88286,0.8789,0.92934,0.72608,0.83682,0.52436,0.95782,0.00998921,0.00998921,0.00998921
111,15230.8,0.98355,0.96805,1.06981,0.87972,0.89279,0.93033,0.71558,0.93114,0.54526,0.99026,0.00998911,0.00998911,0.00998911
112,15368,0.97857,0.96119,1.08367,0.86917,0.91297,0.92591,0.69038,1.04119,0.54602,1.03807,0.00998901,0.00998901,0.00998901
113,15505.2,0.97719,0.96817,1.07586,0.87892,0.9177,0.93504,0.67424,1.04521,0.55181,1.0525,0.00998891,0.00998891,0.00998891
114,15642.7,0.98794,0.97319,1.08048,0.88394,0.88162,0.91849,0.70717,0.93742,0.53419,1.01325,0.00998881,0.00998881,0.00998881
115,15779.9,0.97252,0.96572,1.06814,0.8541,0.86127,0.90583,0.66097,1.04174,0.56749,1.01614,0.00998871,0.00998871,0.00998871
116,15917.2,0.96407,0.96518,1.06876,0.85494,0.88662,0.91868,0.70517,0.90821,0.52556,0.97171,0.00998862,0.00998862,0.00998862
117,16054.3,0.98337,0.95284,1.07823,0.84899,0.89088,0.91338,0.70387,0.86637,0.51924,0.96396,0.00998852,0.00998852,0.00998852
118,16191.5,0.96172,0.96283,1.07469,0.88219,0.89819,0.92891,0.74192,0.82128,0.55433,0.95674,0.00998842,0.00998842,0.00998842
119,16328.6,0.97126,0.95091,1.07059,0.94817,0.87005,0.92547,0.72013,0.9229,0.5092,0.97546,0.00998832,0.00998832,0.00998832
120,16466,0.99397,0.97473,1.08132,0.85776,0.88281,0.89121,0.69551,0.87214,0.52144,0.97166,0.00998822,0.00998822,0.00998822
121,16603.2,0.97482,0.95073,1.0717,0.86794,0.89675,0.9193,0.68705,0.96966,0.54145,1.0094,0.00998812,0.00998812,0.00998812
122,16740.4,0.96464,0.95025,1.07716,0.89641,0.83446,0.91601,0.70025,0.89299,0.54671,0.97915,0.00998802,0.00998802,0.00998802
123,16877.6,0.97551,0.95088,1.07954,0.93733,0.84803,0.91582,0.7018,0.99635,0.5332,1.01437,0.00998792,0.00998792,0.00998792
124,17014.8,0.96785,0.95651,1.07549,0.85229,0.86971,0.91373,0.70962,0.89672,0.53375,0.97192,0.00998782,0.00998782,0.00998782
125,17152,0.97084,0.94234,1.07165,0.91139,0.86514,0.92182,0.70228,0.98545,0.5377,0.99946,0.00998772,0.00998772,0.00998772
126,17289.2,0.97106,0.95538,1.07334,0.87839,0.89546,0.93335,0.73566,0.88781,0.52306,0.98795,0.00998762,0.00998762,0.00998762
127,17426.3,0.9623,0.95104,1.06616,0.86068,0.90594,0.93333,0.68478,1.03039,0.54408,1.0319,0.00998753,0.00998753,0.00998753
128,17563.5,0.95888,0.93724,1.0701,0.84134,0.88665,0.92702,0.71906,0.87621,0.52446,0.96901,0.00998743,0.00998743,0.00998743
129,17700.7,0.95483,0.93513,1.07447,0.92553,0.86659,0.93672,0.72682,0.94958,0.51316,1.00902,0.00998733,0.00998733,0.00998733
130,17837.8,0.95048,0.92611,1.06686,0.93509,0.85321,0.93148,0.69779,0.97673,0.51874,0.99295,0.00998723,0.00998723,0.00998723
