epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5790.94,0.83382,0.79939,1.00994,0.91508,0.90284,0.94227,0.73951,0.87119,0.45333,0.96061,0.00999594,0.00999594,0.00999594
43,5928.63,0.83165,0.7853,1.01132,0.92601,0.88686,0.93555,0.73644,0.9297,0.48749,0.98552,0.00999584,0.00999584,0.00999584
44,6066.33,0.83754,0.81492,1.01665,0.90224,0.88701,0.92681,0.72826,0.91052,0.48648,0.98599,0.00999574,0.00999574,0.00999574
45,6204.06,0.84341,0.78256,1.01301,0.89241,0.89605,0.932,0.72342,0.90988,0.48183,0.96564,0.00999564,0.00999564,0.00999564
46,6341.74,0.83947,0.79966,1.01486,0.91756,0.88802,0.94421,0.728,0.92108,0.50303,0.97507,0.00999554,0.00999554,0.00999554
47,6479.46,0.83794,0.79539,1.01015,0.92647,0.85374,0.93043,0.7338,0.8574,0.51036,0.96762,0.00999545,0.00999545,0.00999545
48,6617.11,0.84021,0.78413,1.00781,0.90762,0.91401,0.93102,0.67805,1.13135,0.51396,1.04702,0.00999535,0.00999535,0.00999535
49,6754.83,0.84048,0.79686,1.01622,0.9133,0.89614,0.93133,0.67188,1.14496,0.5295,1.0507,0.00999525,0.00999525,0.00999525
50,6892.53,0.83982,0.7959,1.01159,0.87995,0.92607,0.94051,0.73158,0.89544,0.46526,0.95972,0.00999515,0.00999515,0.00999515
51,7030.35,0.81914,0.80582,1.01216,0.93474,0.88936,0.93685,0.7409,0.86537,0.50975,0.9614,0.00999505,0.00999505,0.00999505
52,7168.06,0.83755,0.79331,1.00962,0.85331,0.89069,0.92657,0.70834,0.95144,0.4845,0.98747,0.00999495,0.00999495,0.00999495
53,7305.95,0.83427,0.78408,1.01173,0.87752,0.90016,0.94558,0.67344,1.08665,0.50952,1.06412,0.00999485,0.00999485,0.00999485
54,7443.63,0.82899,0.7973,1.0095,0.90949,0.88105,0.92658,0.73456,0.84827,0.48256,0.96928,0.00999475,0.00999475,0.00999475
55,7581.42,0.82505,0.79321,1.00792,0.93543,0.8743,0.92859,0.66228,1.15576,0.54796,1.06239,0.00999465,0.00999465,0.00999465
56,7719.1,0.84362,0.78697,1.01158,0.91123,0.89681,0.92944,0.72969,0.86013,0.47364,0.95437,0.00999456,0.00999456,0.00999456
57,7856.85,0.84479,0.78397,1.00824,0.92796,0.89412,0.94097,0.7295,0.86604,0.45989,0.95728,0.00999446,0.00999446,0.00999446
58,7994.64,0.82962,0.79569,1.00484,0.93252,0.91131,0.94513,0.72299,0.97686,0.49267,1.00625,0.00999436,0.00999436,0.00999436
59,8132.28,0.83053,0.78398,1.00877,0.91238,0.90078,0.94159,0.70646,0.96819,0.48365,1.00894,0.00999426,0.00999426,0.00999426
60,8269.99,0.84072,0.78635,1.01622,0.89184,0.90137,0.94092,0.68812,1.01592,0.53129,1.03714,0.00999416,0.00999416,0.00999416
61,8407.63,0.84761,0.79674,1.01722,0.9354,0.88904,0.94337,0.76912,0.78159,0.44723,0.92209,0.00999406,0.00999406,0.00999406
62,8545.31,0.83863,0.79056,1.01662,0.86244,0.90068,0.9295,0.75217,0.8115,0.47835,0.93708,0.00999396,0.00999396,0.00999396
63,8682.96,0.81977,0.79307,1.00796,0.92821,0.89228,0.9373,0.71419,0.97641,0.48101,1.00938,0.00999386,0.00999386,0.00999386
64,8820.65,0.8147,0.80018,0.99991,0.92048,0.91487,0.93276,0.70556,0.96083,0.48459,0.98497,0.00999376,0.00999376,0.00999376
65,8958.35,0.83264,0.78118,1.01046,0.90714,0.88335,0.93316,0.70388,1.01055,0.52543,1.01753,0.00999366,0.00999366,0.00999366
66,9096.08,0.82478,0.78304,1.01039,0.90463,0.86196,0.91214,0.70689,0.93886,0.50342,0.99321,0.00999356,0.00999356,0.00999356
67,9233.88,0.83842,0.80142,1.01418,0.91481,0.8528,0.922,0.7186,0.89543,0.51029,0.98163,0.00999347,0.00999347,0.00999347
68,9371.59,0.83015,0.78034,1.01034,0.87253,0.89924,0.93008,0.7038,0.98885,0.4881,1.00562,0.00999337,0.00999337,0.00999337
69,9509.28,0.83368,0.79237,1.01197,0.9349,0.91207,0.9396,0.75441,0.82705,0.44546,0.94372,0.00999327,0.00999327,0.00999327
70,9647.05,0.83393,0.80042,1.00881,0.93205,0.85761,0.93102,0.75099,0.81355,0.46635,0.93626,0.00999317,0.00999317,0.00999317
71,9784.72,0.82958,0.78991,1.01046,0.92288,0.84947,0.92626,0.74467,0.79956,0.46173,0.94289,0.00999307,0.00999307,0.00999307
72,9922.45,0.82979,0.78728,1.01031,0.9302,0.85004,0.92784,0.70548,0.95675,0.50149,1.0117,0.00999297,0.00999297,0.00999297
73,10060.1,0.83749,0.79987,1.01008,0.90963,0.89322,0.93663,0.7198,0.93591,0.48968,0.98718,0.00999287,0.00999287,0.00999287
74,10197.8,0.83195,0.77909,1.01043,0.93537,0.85722,0.93318,0.69144,1.06266,0.51196,1.03947,0.00999277,0.00999277,0.00999277
75,10335.6,0.82737,0.77573,1.00231,0.921,0.86043,0.93697,0.72403,0.91371,0.49502,0.97486,0.00999267,0.00999267,0.00999267
76,10473.3,0.84147,0.79126,1.01279,0.89312,0.89451,0.93588,0.7066,0.94644,0.49033,0.99291,0.00999258,0.00999258,0.00999258
77,10611,0.81792,0.78046,1.00461,0.87877,0.90068,0.92257,0.73706,0.84889,0.47456,0.978,0.00999248,0.00999248,0.00999248
78,10748.7,0.82639,0.78339,1.0091,0.89576,0.89609,0.92839,0.73382,0.92455,0.49254,0.98097,0.00999238,0.00999238,0.00999238
79,10886.7,0.83268,0.78134,1.00352,0.90671,0.89685,0.93399,0.74371,0.85809,0.46266,0.95828,0.00999228,0.00999228,0.00999228
80,11024.5,0.83122,0.78443,1.00274,0.90582,0.88232,0.9495,0.75566,0.85534,0.47891,0.953,0.00999218,0.00999218,0.00999218
81,11162.2,0.82578,0.76311,1.00711,0.91982,0.89776,0.94406,0.76467,0.8462,0.47124,0.96219,0.00999208,0.00999208,0.00999208
82,11300,0.82562,0.78064,1.0055,0.90542,0.91668,0.93507,0.72647,0.92616,0.4483,0.96458,0.00999198,0.00999198,0.00999198
83,11437.8,0.83308,0.77625,1.00666,0.87433,0.91162,0.93858,0.7386,0.85192,0.45682,0.95569,0.00999188,0.00999188,0.00999188
84,11575.4,0.82269,0.7831,0.99863,0.87681,0.92553,0.9317,0.72036,0.92998,0.48264,0.98346,0.00999178,0.00999178,0.00999178
85,11713.2,0.82565,0.78337,1.0026,0.92134,0.89578,0.94495,0.71626,0.956,0.48153,0.98144,0.00999168,0.00999168,0.00999168
86,11851,0.81845,0.77894,1.00439,0.80834,0.92667,0.92271,0.73588,0.91558,0.46619,0.98007,0.00999158,0.00999158,0.00999158
87,11988.7,0.82915,0.78779,1.01023,0.9279,0.90197,0.93648,0.77079,0.75735,0.44145,0.91902,0.00999149,0.00999149,0.00999149
88,12126.5,0.82992,0.78797,1.00158,0.91608,0.90194,0.94756,0.73681,0.90459,0.46586,0.9669,0.00999139,0.00999139,0.00999139
89,12264.1,0.82477,0.78771,1.00772,0.8819,0.90878,0.93164,0.73072,0.88239,0.48012,0.96229,0.00999129,0.00999129,0.00999129
90,12401.9,0.8199,0.78004,1.00776,0.90354,0.86831,0.9404,0.72485,0.87037,0.49943,0.96457,0.00999119,0.00999119,0.00999119
91,12539.7,0.82992,0.78647,1.01212,0.92111,0.90503,0.94502,0.74138,0.86047,0.46742,0.94707,0.00999109,0.00999109,0.00999109
92,12677.4,0.83219,0.77524,1.01471,0.9407,0.8864,0.93407,0.72741,0.88,0.48193,0.95768,0.00999099,0.00999099,0.00999099
93,12815.1,0.82317,0.78398,1.00491,0.93634,0.89287,0.93388,0.72413,0.93021,0.46963,0.98783,0.00999089,0.00999089,0.00999089
94,12952.8,0.82171,0.78311,1.00553,0.89729,0.89853,0.93234,0.7382,0.84092,0.47213,0.95329,0.00999079,0.00999079,0.00999079
95,13090.6,0.82451,0.78012,1.0054,0.90737,0.88742,0.93337,0.73718,0.87672,0.46134,0.97314,0.00999069,0.00999069,0.00999069
96,13228.3,0.81344,0.77345,1.00203,0.91313,0.88866,0.93583,0.71151,0.97677,0.50018,0.98052,0.00999059,0.00999059,0.00999059
97,13366.1,0.81513,0.76818,1.00661,0.90709,0.91272,0.94312,0.74432,0.81229,0.43908,0.94807,0.0099905,0.0099905,0.0099905
98,13503.8,0.8183,0.77312,1.00481,0.93594,0.90803,0.94749,0.74405,0.89026,0.45726,0.97375,0.0099904,0.0099904,0.0099904
99,13641.6,0.82175,0.78661,1.00492,0.90117,0.89468,0.93444,0.7426,0.80071,0.46176,0.93272,0.0099903,0.0099903,0.0099903
100,13779.3,0.81695,0.77486,0.99761,0.88594,0.90758,0.93714,0.73271,0.89564,0.47836,0.95963,0.0099902,0.0099902,0.0099902
101,13917,0.83526,0.79782,1.00684,0.90862,0.89397,0.93219,0.71551,0.89898,0.48696,0.97229,0.0099901,0.0099901,0.0099901
