epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11600,1.1359,1.1332,1.15725,0.83628,0.78459,0.88195,0.55805,1.3072,0.73156,1.13382,0.00999594,0.00999594,0.00999594
43,11876.4,1.13154,1.14388,1.15845,0.85416,0.8358,0.87936,0.56844,1.2948,0.71374,1.14122,0.00999584,0.00999584,0.00999584
44,12152.1,1.11212,1.13455,1.15344,0.91745,0.83449,0.91998,0.59242,1.32483,0.69961,1.15851,0.00999574,0.00999574,0.00999574
45,12428.6,1.12355,1.10996,1.15654,0.90132,0.78125,0.8856,0.6244,1.0437,0.67315,1.05951,0.00999564,0.00999564,0.00999564
46,12704.5,1.11094,1.12253,1.15359,0.88011,0.82087,0.89302,0.56936,1.28628,0.69404,1.13565,0.00999554,0.00999554,0.00999554
47,12980.8,1.11812,1.09654,1.1496,0.86923,0.79533,0.87865,0.56505,1.25639,0.65705,1.11604,0.00999545,0.00999545,0.00999545
48,13256.5,1.09925,1.07857,1.14384,0.85667,0.80292,0.87802,0.60964,1.19735,0.71604,1.11421,0.00999535,0.00999535,0.00999535
49,13532.9,1.09966,1.08913,1.13718,0.89396,0.7923,0.87522,0.58518,1.32088,0.71063,1.17245,0.00999525,0.00999525,0.00999525
50,13808.6,1.0985,1.09722,1.14245,0.89127,0.80753,0.90343,0.61455,1.18191,0.664,1.09936,0.00999515,0.00999515,0.00999515
51,14085,1.09028,1.05874,1.14124,0.84021,0.87424,0.91745,0.632,1.1352,0.64331,1.08342,0.00999505,0.00999505,0.00999505
52,14360.8,1.07407,1.05485,1.12378,0.91951,0.85205,0.91593,0.62725,1.2187,0.68532,1.11076,0.00999495,0.00999495,0.00999495
53,14637.2,1.0758,1.05794,1.11929,0.8977,0.84858,0.8957,0.6121,1.12932,0.64945,1.06624,0.00999485,0.00999485,0.00999485
54,14913,1.08513,1.05515,1.13292,0.89398,0.83278,0.92338,0.65511,1.07187,0.66388,1.03134,0.00999475,0.00999475,0.00999475
55,15189.5,1.07029,1.03705,1.11832,0.85526,0.85367,0.89726,0.63092,1.05809,0.5899,1.04784,0.00999465,0.00999465,0.00999465
56,15465.2,1.0685,1.05082,1.11956,0.78852,0.86947,0.88535,0.6544,0.96603,0.62162,1.02746,0.00999456,0.00999456,0.00999456
57,15741.6,1.06115,1.06468,1.12325,0.88762,0.84379,0.90073,0.60586,1.27802,0.65323,1.12947,0.00999446,0.00999446,0.00999446
58,16017.3,1.07504,1.02176,1.1224,0.85869,0.84991,0.90737,0.59111,1.30659,0.6865,1.15335,0.00999436,0.00999436,0.00999436
59,16293.7,1.05508,1.02051,1.11572,0.9007,0.86847,0.92074,0.69047,1.05177,0.58654,1.05312,0.00999426,0.00999426,0.00999426
60,16569.5,1.04467,1.04133,1.1215,0.92095,0.84212,0.93093,0.63233,1.1985,0.61579,1.09449,0.00999416,0.00999416,0.00999416
61,16845.9,1.04884,1.02498,1.12054,0.8558,0.87636,0.90508,0.63919,1.08134,0.58117,1.04928,0.00999406,0.00999406,0.00999406
62,17121.5,1.04479,1.01027,1.11006,0.89442,0.83806,0.90654,0.6536,1.04793,0.59138,1.04689,0.00999396,0.00999396,0.00999396
63,17397.9,1.04279,1.00032,1.10953,0.87099,0.86929,0.92972,0.68559,0.98893,0.55701,1.01194,0.00999386,0.00999386,0.00999386
64,17673.5,1.03776,1.03598,1.11299,0.8901,0.83628,0.91315,0.63946,1.13674,0.6208,1.06038,0.00999376,0.00999376,0.00999376
65,17950,1.0288,1.01173,1.10832,0.86567,0.86987,0.91234,0.61841,1.11972,0.59039,1.07357,0.00999366,0.00999366,0.00999366
66,18225.6,1.02777,1.02272,1.10476,0.87026,0.87089,0.90353,0.64534,1.0608,0.62996,1.0372,0.00999356,0.00999356,0.00999356
67,18502.2,1.03365,1.00683,1.10084,0.8575,0.86239,0.90759,0.63178,1.18849,0.60825,1.08188,0.00999347,0.00999347,0.00999347
68,18777.9,1.03158,0.98714,1.10068,0.87775,0.83594,0.90997,0.59409,1.29005,0.62836,1.1261,0.00999337,0.00999337,0.00999337
69,19054.8,1.02043,0.98471,1.10773,0.91294,0.83046,0.91644,0.62971,1.16992,0.61364,1.07992,0.00999327,0.00999327,0.00999327
70,19330.5,1.0176,0.98304,1.10526,0.88105,0.83852,0.9078,0.63397,1.16227,0.61095,1.06423,0.00999317,0.00999317,0.00999317
71,19606.9,1.03438,0.98704,1.10242,0.896,0.81993,0.89725,0.65542,1.07007,0.60005,1.03012,0.00999307,0.00999307,0.00999307
72,19882.5,1.00929,1.00735,1.09797,0.87376,0.85678,0.91809,0.70266,0.95591,0.54251,0.99791,0.00999297,0.00999297,0.00999297
73,20159,0.99721,0.97928,1.0878,0.86499,0.88724,0.91427,0.67856,1.00252,0.5801,1.01229,0.00999287,0.00999287,0.00999287
74,20434.7,1.0135,0.98671,1.09564,0.88918,0.89916,0.92814,0.6823,1.00287,0.54805,1.03156,0.00999277,0.00999277,0.00999277
75,20711.1,1.01889,0.96036,1.103,0.95105,0.87582,0.93928,0.67552,1.10785,0.55917,1.06816,0.00999267,0.00999267,0.00999267
76,20986.7,1.01356,0.97648,1.10333,0.88065,0.88746,0.92013,0.6633,1.07925,0.57711,1.03195,0.00999258,0.00999258,0.00999258
77,21263.2,1.00335,0.94541,1.08588,0.886,0.87124,0.91744,0.67609,0.99615,0.58686,1.019,0.00999248,0.00999248,0.00999248
78,21538.7,1.00796,0.97316,1.09072,0.90398,0.8874,0.93262,0.7025,0.98052,0.55591,1.03176,0.00999238,0.00999238,0.00999238
79,21815.4,1.00268,0.96128,1.08046,0.91562,0.90153,0.92569,0.67216,1.03462,0.54361,1.03591,0.00999228,0.00999228,0.00999228
80,22091.1,0.99708,0.96941,1.09041,0.86026,0.90763,0.92829,0.68188,1.00001,0.53268,1.01799,0.00999218,0.00999218,0.00999218
81,22367.6,0.99579,0.95262,1.08475,0.89264,0.88524,0.92495,0.69301,1.00089,0.54396,1.02753,0.00999208,0.00999208,0.00999208
82,22643.3,0.97594,0.96371,1.08304,0.92518,0.91247,0.93441,0.70271,0.9559,0.51043,1.0152,0.00999198,0.00999198,0.00999198
83,22919.7,0.99252,0.94913,1.08651,0.87262,0.90089,0.93245,0.69402,1.04226,0.52914,1.02943,0.00999188,0.00999188,0.00999188
84,23195.4,0.97636,0.94901,1.07477,0.90162,0.87973,0.936,0.70789,0.94818,0.52679,1.00197,0.00999178,0.00999178,0.00999178
85,23471.9,0.99279,0.95606,1.08251,0.92012,0.86776,0.93488,0.70302,0.92415,0.52993,0.99449,0.00999168,0.00999168,0.00999168
